index,home_team,away_team,id,market,competition_name,prediction,competition_cluster,status,federation,is_expired,season,result,start_date,last_update_at,odds
122,Maccabi Petah Tikva,Maccabi Tel Aviv,40181,classic,Premier League,2,Israel,lost,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T19:00:00,2018-12-01T09:16:17.282000,"{'1': 6.122, 'X': 3.716, '2': 1.474, '1X': 2.4, 'X2': 1.102, '12': 1.206}"
123,MFK Zemplin Michalovce,Zlate Moravce,40243,classic,Superliga,1X,Slovakia,won,UEFA,TRUE,2018 - 2019,3 - 0,2018-12-01T13:00:00,2018-12-01T09:16:17.282000,"{'1': 1.805, 'X': 3.535, '2': 3.708, '1X': 1.237, 'X2': 1.855, '12': 1.242}"
124,Cordoba,Elche,40321,classic,Segunda Division,1X,Spain,won,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 2.2, 'X': 3.086, '2': 3.319, '1X': 1.306, 'X2': 1.623, '12': 1.321}"
125,Mlada Boleslav,Karvina,40164,classic,First League,1,Czech Republic,lost,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T14:00:00,2018-12-01T09:16:17.282000,"{'1': 1.63, 'X': 3.957, '2': 4.605, '1X': 1.172, 'X2': 2.16, '12': 1.207}"
126,Saint Mirren,Hamilton Academical,40220,classic,Premiership,12,Scotland,won,UEFA,TRUE,2018 - 2019,01-Mar,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 2.22, 'X': 3.192, '2': 3.255, '1X': 1.327, 'X2': 1.625, '12': 1.313}"
127,Connah's Quay Nomads,Llandudno FC,40261,classic,Premier League,1,Wales,won,UEFA,TRUE,2018 - 2019,3 - 0,2018-12-01T14:30:00,2018-12-01T09:16:17.282000,"{'1': 1.267, 'X': 5.132, '2': 8.915, '1X': 1.043, 'X2': 3.297, '12': 1.117}"
128,Alloa Athletic,Ross County,40221,classic,Championship,2,Scotland,won,UEFA,TRUE,2018 - 2019,0 - 1,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 4.675, 'X': 3.703, '2': 1.653, '1X': 2.082, 'X2': 1.158, '12': 1.225}"
129,Crystal Palace,Burnley,40056,classic,Premier League,1,England,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 1.554, 'X': 3.957, '2': 6.75, '1X': 1.11, 'X2': 2.454, '12': 1.224}"
130,Mafra,Porto B,40208,classic,Segunda Liga,1X,Portugal,won,UEFA,TRUE,2018 - 2019,02-Jan,2018-12-01T11:00:00,2018-12-01T09:16:17.282000,"{'1': 2.257, 'X': 3.16, '2': 3.013, '1X': 1.34, 'X2': 1.573, '12': 1.297}"
131,Braintree,Barrow,40073,classic,National League,2,England,won,UEFA,TRUE,2018 - 2019,0 - 2,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 2.963, 'X': 3.237, '2': 2.273, '1X': 1.569, 'X2': 1.354, '12': 1.284}"
132,Alki Oroklini,Nea Salamina Famagusta,40162,classic,First Division,2,Cyprus,lost,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 5.463, 'X': 3.737, '2': 1.503, '1X': 2.335, 'X2': 1.12, '12': 1.202}"
133,Stuttgart,Augsburg,40098,classic,Bundesliga,1X,Germany,won,UEFA,TRUE,2018 - 2019,1 - 0,2018-12-01T14:30:00,2018-12-01T12:15:21.956000,"{'1': 2.611, 'X': 3.38, '2': 2.656, '1X': 1.457, 'X2': 1.49, '12': 1.299}"
134,Newcastle,West Ham,40060,classic,Premier League,12,England,won,UEFA,TRUE,2018 - 2019,0 - 3,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 2.496, 'X': 3.266, '2': 2.961, '1X': 1.404, 'X2': 1.534, '12': 1.313}"
135,Aldershot,Ebbsfleet United,40072,classic,National League,1X,England,lost,UEFA,TRUE,2018 - 2019,0 - 2,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 2.649, 'X': 3.146, '2': 2.561, '1X': 1.46, 'X2': 1.447, '12': 1.291}"
136,Ards FC,Warrenpoint Town,40192,classic,NIFL Premiership,12,Northern Ireland,lost,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 2.447, 'X': 3.333, '2': 2.563, '1X': 1.441, 'X2': 1.483, '12': 1.264}"
137,Manchester City,Bournemouth,40059,classic,Premier League,1,England,won,UEFA,TRUE,2018 - 2019,03-Jan,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 1.111, 'X': 10.129, '2': 22.346, '1X': 1.013, 'X2': 6.295, '12': 1.035}"
138,Fiorentina,Juventus,40112,classic,Serie A,2,Italy,won,UEFA,TRUE,2018 - 2019,0 - 3,2018-12-01T17:00:00,2018-12-01T15:13:15.273000,"{'1': 5.674, 'X': 3.769, '2': 1.631, '1X': 2.234, 'X2': 1.143, '12': 1.241}"
